"Origin","Proverb"
"Latin","Power acquired by guilt was never used for a good purpose."
"Latin","Rear dogs and wolves' cubs to rend you."
"Latin","Poverty shows us who are our friends and who our enemies."
"Latin","Promises must not fill the place of gifts."
"Latin","Poverty is no disgrace, but it's a great inconvenience."
"Latin","Poverty is death in another form."
"Latin","Potter envies potter, and smith smith."
"Latin","Possessions dwindle: I mourn their loss. But I mourn the loss of time much more, for anyone can save his purse, but none can win back lost time."
"Latin","Possessions dwindle: I mourn their loss. But I mourn the loss of time much more, for anyone can save his purse, but none can win back lost time."
"Latin","Poor though in the midst of wealth."
"Latin","Pondering over many things by night."
"Latin","Ponder long before you act."
"Latin","Pleasure often comes from pain."
"Latin","Pleasure is the bait of evil."
"Latin","Pleasure is often the introduction to pain."
"Latin","Pleasure and pain succeed each other."
"Latin","Poverty trieth friends."
"Latin","Prudence and strength combined."
"Latin","Plague seize the hindmost."
"Latin","Re-open not a wound once healed."
"Latin","Rare is agreement between beauty and modesty."
"Latin","Quietly, if you can; if not, by any means."
"Latin","Quickly come, quickly go."
"Latin","Quick enough, if safe enough."
"Latin","Quarrels enhance the pleasures of love."
"Latin","Pursue that course which offers most advantages, habit will soon make it agreeable and easy."
"Latin","Punishment awaits crime."
"Latin","Punishment awaits all offences."
"Latin","Puffed goods are putrid."
"Latin","Prying with sidelong glance into other people's business."
"Latin","Presumption first blinds a man, and then sets him a running."
"Latin","Prudence availeth more than strength."
"Latin","Pride is innate in beauty, and haughtiness is the companion of the fair."
"Latin","Providential aid at a critical moment."
"Latin","Providence tempers the wind to the shorn lamb."
"Latin","Providence provides but short horns for the fierce ox."
"Latin","Providence our herald, no barrier can oppose us."
"Latin","Providence may delay, but punishment will come at length."
"Latin","Providence is better than a rent."
"Latin","Providence is always on the side of the big battalions."
"Latin","Providence has not entirely deserted us."
"Latin","Providence crushes pride."
"Latin","Providence assists not the idle."
"Latin","Property is robbery."
"Latin","Promises, like pie crust, are made to be broken."
"Latin","Real wealth consists not in having, but in not wanting."
"Latin","Prudence is the charioteer of all virtues."
"Latin","It is the duty of friends mutually to correct each other."
"Latin","It is not allowed in war to blunder twice."
"Latin","It may be said that noisy barrels are easier to carry."
"Latin","It matters little whether we are the slaves of circumstance, or of man."
"Latin","It is well to buy oil as well as salt."
"Latin","It is vain to do that by a multitude which a few can accomplish."
"Latin","It is unlucky to marry in May."
"Latin","It is ungentlemanly to lie; truthfulness becomes the gentleman."
"Latin","It is thou must honour the place, not the place thee."
"Latin","It is the very backbone of wisdom not to trust too hastily."
"Latin","It is the tree that gives its nature to the fruit."
"Latin","It is the season not the soil that brings the crop."
"Latin","It is the perfection of art when no trace of the artist appears."
"Latin","It rolled like water off a duck's back."
"Latin","It is the essence of good taste to do that which is consistent with our position."
"Latin","It would be clear enough even to a blind man."
"Latin","It is the duty of a good sportsman to kill game freely, but not kill all."
"Latin","It is sweet and meritorious to die for one's country."
"Latin","It is soon known which trees will bear fruit."
"Latin","It is sheer folly to expect justice from the unprincipled."
"Latin","It is safer to irritate a dog than an old woman."
"Latin","It is one thing to boast, another to fight."
"Latin","It is often better to go by a circuitous than by a direct path."
"Latin","It is not to be argued that the abuse of a thing proves that it is useless."
"Latin","It is not easy to bear prosperity unruffled."
"Latin","It is not easy suddenly to cast aside a fancy long indulged in."
"Latin","It is not becoming to play the fox, or to play up on both sides."
"Latin","Late hours and love and wine lead not to moderation in anything."
"Latin","It is the part of a good shepherd to shear his flock, not to skin it."
"Latin","Judge of the statue of Hercules by the size of the foot."
"Latin","Let every man have his due."
"Latin","Know you not that kings have long arms?"
"Latin","Kings love the treason, but not the traitor."
"Latin","Kings learn wisdom from associating with wise men."
"Latin","Kings have many ears and many eyes too."
"Latin","Keep your own fish-guts for your own sea-maws."
"Latin","Keep your own fish guts for your own sea maws."
"Latin","Keep your own counsel."
"Latin","Keep your eye upon the goal."
"Latin","Keep the common road, and thou'rt safe."
"Latin","Keep quiet and people will think you a philosopher."
"Latin","Keep adding little by little and you will soon have a big hoard."
"Latin","It rings, it is empty."
"Latin","Jupiter himself cannot please everybody."
"Latin","It is no business of mine; may it go to the devil."
"Latin","Judge of the daughter by the mother."
"Latin","Jove but laughs at lover's perjury."
"Latin","Jouk and let the jaw go by."
"Latin","Joking must have its proper limit."
"Latin","Jokes, which carry injury with them, are never agreeable."
"Latin","Jackdaw always perches by jackdaw."
"Latin","It's an ill wind that blows no one any good."
"Latin","It's an ill plan that cannot be changed."
"Latin","It's all grist to the mill."
"Latin","It's a well-known fact, dirt stinks more when stirred."
"Latin","It would puzzle even Apollo to understand it."
"Latin","It would make a man scratch where it doth not itch, To see a man live poor to die rich."
"Latin","Justice is exercised in the proper prevention, rather than in the severe punishment, of crime."
"Latin","It is a bad bargain, where both are losers."
"Latin","It is not at the altar that we should consider the course we would take."
"Latin","It is an absurdity that he should rule others who cannot command himself."
"Latin","It is all over: I may as well go and hand myself."
"Latin","It is all over: I may as well go and hand myself."
"Latin","It is a wretched position to be dependent on others for support."
"Latin","It is a solace to the miserable to have a companion in their grief."
"Latin","It is a poor dog that's not worth whistling for."
"Latin","It is a no good hen, that cackles in your house and lays in another's."
"Latin","It is a misery to be born, a punishment to live, and a trouble to die."
"Latin","It is a mean thing to despise unsuccessful merit."
"Latin","It is a kingly act to help the fallen."
"Latin","It is a fraud to connive at a fraud."
"Latin","It is an honourable thing to be accused by those who are open to accusation."
"Latin","It is a disgrace to be praised by those who deserve no praise."
"Latin","It is as bad to have too many friends as no friends at all."
"Latin","It is a bad action that success cannot justify."
"Latin","It has caused injury and will do so again."
"Latin","It has become a proverb."
"Latin","It hangs by a hair."
"Latin","It flies gently, but wounds deeply."
"Latin","Men in office must work hard."
"Latin","A woman for a general, and the soldiers will be women."
"Latin","You have hit the nail on the head."
"Latin","Marry a person in your own rank in life."
"Latin","Men are bound by words, bulls' horns by ropes."
"Latin","Two eyes can see more than one."
"Latin","Some sow, others read."
"Latin","It is a foul bird that fills his own nest."
"Latin","It is cruel to refer to those things which cause sorrow."
"Latin","It is no advantage for a man in fever to change his bed."
"Latin","It is never too late to mend."
"Latin","It is never too late to learn."
"Latin","It is never too late to ask what time it is."
"Latin","It is more wicked to love a sin than to commit one."
"Latin","It is more difficult to bridle the tongue than to conquer an army."
"Latin","It is inexcusable to have remained long away, and return empty-handed."
"Latin","It is honourable to be accused by those who deserve to be accused."
"Latin","It is good to be taught even by an enemy."
"Latin","It is easy to set a cask a rolling."
"Latin","It is easier to win good luck than to retain it."
"Latin","It is easier to run from virtue to vice, than from vice to virtue."
"Latin","It is an easy task to improve upon an invention."
"Latin","It is easier to pull down than to build up."
"Latin","Late repentance is rarely sincere."
"Latin","It is but fair that he who requires indulgence for his own offences should grant it to others."
"Latin","It is but a small merit to observe silence, but it is a grave fault to speak of matters on which we should be silent."
"Latin","It is better to turn back than to persevere in an evil course."
"Latin","It is better to say nothing than not enough."
"Latin","It is better to satisfy our hunger than to be clothed in purple."
"Latin","It is better to give than to receive."
"Latin","It is better to fly than to remain in disgrace."
"Latin","It is better to enjoy what we possess than to hanker after other things."
"Latin","It is better to be born lucky than rich."
"Latin","It is better to be always prepared than to suffer once."
"Latin","It is best to learn wisdom by the experience of others."
"Latin","It is bad to contend about trifles."
"Latin","It is easier to raise the Devil than to lay him."
"Latin","Make too much haste and pay the penalty."
"Latin","Love is like a shuttlecock."
"Latin","Many fall by the sword, but more from gluttony."
"Latin","Many can drive oxen, few can plough."
"Latin","Many can drive an ox; few can plough."
"Latin","Many asses have only two legs."
"Latin","Many annoyances surround an aged man."
"Latin","Many an injury comes from a fool's speech."
"Latin","Man's life's a vapor, and full of woes; he cuts a caper, and down he goes."
"Latin","Man's life is a sojourn in a strange land."
"Latin","Man is to man a wolf, man is to man a demon."
"Latin","Man is himself the author of every sorrow he endures."
"Latin","Man is a wolf to man."
"Latin","Many meet the gods, but few salute them."
"Latin","Make your experiment on a worthless subject."
"Latin","Many promises impair confidence."
"Latin","Make hay when the sun shines."
"Latin","Make haste slowly."
"Latin","Make good use of your time, it flies fast."
"Latin","Make every bargain clear and plain, that none may afterwards complain."
"Latin","Make a virtue of necessity."
"Latin","Mad drunkenness discloses every secret."
"Latin","Mad desire, when it has the most, longs for more."
"Latin","Lust of power is the strongest of all passions."
"Latin","Lovers are madmen."
"Latin","Love would soon perish, unless nourished by Ceres and Bacchus."
"Latin","Love steals on us imperceptibly."
"Latin","Labour conquers all things."
"Latin","Man and woman, fire and chaff."
"Latin","No gain satisfies a greedy mind."
"Latin","No man has a worse friend than he brings with him from home."
"Latin","No man grieves long unless by his own fault."
"Latin","No man ever became wicked all at once."
"Latin","No man commands ably unless he has himself obeyed discipline."
"Latin","No man can think well of himself who does not think well of others."
"Latin","No man can swim ashore and carry his baggage with him."
"Latin","No man can call again yesterday."
"Latin","No man can be happy without a friend, or be sure of his friend till he is unhappy."
"Latin","No man acquires perfection all at once."
"Latin","No injury can be complained of by a consenting party."
"Latin","No horse is so good, but that he will at times stumble."
"Latin","No herb can remedy the anguish of love."
"Latin","Many hands make light work."
"Latin","No gain satisfies a greedy mind."
"Latin","Love is a kind of military service."
"Latin","No gain is so certain as that which proceeds from the economical use of what you already have."
"Latin","No gain is as certain as that which proceeds from the economical use of what you already have."
"Latin","No folly like being in love."
"Latin","No day should pass without something being done."
"Latin","No day is wholly productive of evil."
"Latin","No bees, no honey."
"Latin","Night is the mother of council."
"Latin","Married life without children is as the day deprived of the sun's rays."
"Latin","Marriage is a lottery."
"Latin","March comes in like a lion, and goes out like a lamb."
"Latin","Many words, little credit."
"Latin","Many will hate you if you love yourself."
"Latin","No gains without pains."
"Latin","Let him that earns the bread eat it."
"Latin","Love is the fruit of love."
"Latin","Let them hate, so that they fear me."
"Latin","Let the poor man mind his tongue."
"Latin","Let the ignorant learn, and the learned delight in refreshing the memory."
"Latin","Let the devil never find you unoccupied."
"Latin","Let the buyer beware."
"Latin","Let the buyer be on his guard."
"Latin","Let not your sword be drawn at any man's bidding."
"Latin","Let not your right hand know what your left hand doeth."
"Latin","Let no man refuse to endure that which is common to the lot of all."
"Latin","Let no man be the servant of another, who can be his own master."
"Latin","Let it go for what it is worth."
"Latin","Let there be no delay."
"Latin","Let it be given to the most meritorious."
"Latin","Let us be judged of by our actions."
"Latin","Let him take the oars who has learned to row."
"Latin","Let him bear the prize, who has deserved it."
"Latin","Let each man do his best."
"Latin","Let a fool hold his tongue, and he will pass for a sage."
"Latin","Less of your courtesy, and more of your purse."
"Latin","Less malevolence, or more power to exercise it."
"Latin","Length of time rots a stone."
"Latin","Leave not your staff at home."
"Latin","Learning has sour roots, but pleasant fruits."
"Latin","Laughter abounds in the mouths of fools."
"Latin","Laugh, if you are wise."
"Latin","Laugh with those that laugh."
"Latin","Let it be well recorded that a harlot is a gate which leads to death."
"Latin","Lions in time of peace; deer in war."
"Latin","Love for those too easily won does not last long."
"Latin","Love conquers all things; let us own her dominion."
"Latin","Love brooks no delay."
"Latin","Love and dignity do not dwell together."
"Latin","Love and a cough cannot be hid."
"Latin","Lost time is never found again."
"Latin","Losses make us more cautious."
"Latin","Live your own life, for you will die your own death."
"Latin","Live not beyond your means."
"Latin","Live near a lame man, and you will soon learn to limp."
"Latin","Live according to your means."
"Latin","Little grain have I collected from a mass of chaff."
"Latin","Let them laugh that win."
"Latin","Listen to that which is openly and seriously spoken."
"Latin","No man is contented with his lot in this life."
"Latin","Limping justice ne'er will fail To hunt out the longest trail."
"Latin","Limit your inquiry after knowledge."
"Latin","Like prince, like people."
"Latin","Like priest, like people."
"Latin","Like mother, like daughter."
"Latin","Like mistress, like maid."
"Latin","Like likes like."
"Latin","Like a fish out of water."
"Latin","Light griefs can speak, but deeper ones are dumb."
"Latin","Liberate me from that bad fellow, myself."
"Latin","Liberal enough of another man's leather."
"Latin","Let us go, where fate directs us."
"Latin","Little drops produce the shower."
"Latin","We become wiser as we grow older."
"Latin","War gives no opportunity for repeating a mistake."
"Latin","We all envy other people's luck."
"Latin","We all refer to that of which we know most."
"Latin","We are born; we die."
"Latin","We are content to forgo joy when pain is also lost."
"Latin","We are not disposed to study much after heavy meals."
"Latin","What I do against my will cannot be said to be my own act."
"Latin","We are too busy mopping the floor to turn off the faucet."
"Latin","Walk softly but carry a big stick."
"Latin","We benefit by affliction."
"Latin","We can accustom ourselves to anything."
"Latin","We can enjoy nothing without some one to share the pleasure."
"Latin","We conquer and are conquered in our turn."
"Latin","We covet not that of the existence of which we are ignorant."
"Latin","We easily believe that which we hope for."
"Latin","We easily give advice to others."
"Latin","We are the authors of our own disasters."
"Latin","Vice is nourished by concealment."
"Latin","Under the rose."
"Latin","Unequalled in the smallest matters."
"Latin","Unless what we do is useful, glory is vain."
"Latin","Urge the horse close to the turning-post."
"Latin","Use not coercive measures against those in authority."
"Latin","Valour acquires strength by union."
"Latin","Valour even in an enemy is worthy of praise."
"Latin","War appears pleasant to those who have never experienced it."
"Latin","Venture a small fish to catch a great one."
"Latin","Want all lose all."
"Latin","Vices creep into our hearts under the name of virtue."
"Latin","Viper produces viper."
"Latin","Virtue and valour rejoice in being put to the test."
"Latin","Virtue our leader, fortune our companion."
"Latin","Virtue, which parleys, is near a surrender."
"Latin","Walk on your own lands."
"Latin","We give and take in turn."
"Latin","Vengeance is slow, but stern."
"Latin","Wear not boots too big for your feet."
"Latin","We expiate in old age the follies of our youth."
"Latin","We sow the wind, and reap the whirlwind."
"Latin","We start to die when we are born, and the end depends on the beginning."
"Latin","We trust what we see rather than what we hear."
"Latin","Wealth is protected and poverty is assisted by concord."
"Latin","Wealth lightens not the heart and care of man."
"Latin","Wealth makes worship."
"Latin","We should eat to live, not live to eat."
"Latin","Wealth, like an index, reveals the character of men."
"Latin","We shall never be younger."
"Latin","Wear not out your welcome."
"Latin","What a man does by the agency of another is his own act."
"Latin","What does the tortoise care for flies?"
"Latin","What everybody says must be true."
"Latin","What harm is there in making a trial?"
"Latin","What has benefited one has destroyed others."
"Latin","Think first and speak afterwards."
"Latin","Wealth not acquired by our own labours, but inherited."
"Latin","We must live as we can, not as we would wish."
"Latin","Turn of phrase."
"Latin","We hate the man whom we have wronged."
"Latin","We hate whom we have injured."
"Latin","We have all been fools in our time."
"Latin","We judge of the present from the past."
"Latin","We learn the value of things more in their loss than in their enjoyment."
"Latin","We lessen our wants by lessening our desires."
"Latin","We should trust more to our eyesight than to our ears."
"Latin","We lose the certain things, while we seek the uncertain ones."
"Latin","We find much ingratitude, and create more."
"Latin","We must not expect everything, everywhere, and from everybody."
"Latin","We need not friends if Providence smiles on us."
"Latin","We never profit by the gifts of the wicked."
"Latin","We pardon faults in youth."
"Latin","We pay when old for the excesses of youth."
"Latin","We perish by permitted things."
"Latin","We receive nothing with so much reluctance as advice."
"Latin","We live more by fashion than common sense."
"Latin","To have nothing is not poverty."
"Latin","To speak kindly does not hurt the tongue."
"Latin","To be loved, be loveable."
"Latin","To conceal disease is fatal."
"Latin","To condemn by a cutting laugh comes easily to all."
"Latin","To do a favour slowly is to begrudge it; to consent slowly shows unwillingness."
"Latin","To do good to the ungrateful is to throw rose-water into the sea."
"Latin","To every one who doth ask, but not everything he doth ask."
"Latin","Time softens animosity."
"Latin","To have no wants, is money."
"Latin","Time reveals all things."
"Latin","To him that hath much, shall much be given."
"Latin","To know nothing is the happiest life."
"Latin","To obtain that which is just we must ask that which is unjust."
"Latin","To place yourself under an obligation is to sell your liberty."
"Latin","To relax the mind is to lose it."
"Latin","To remove the hairs from a horse's tail, one by one must be plucked out."
"Latin","Unaccustomed to wear them, he displays the breeches he has on to every one he meets."
"Latin","To have been silent never does harm, but to have spoken does."
"Latin","Though malice may darken truth, it cannot put it out."
"Latin","Turn it inside and out."
"Latin","This grief will prove a blessing."
"Latin","Those who are conscious of their own iniquity, suspect others."
"Latin","Those who are nourished by hope live ever in suspense, and enjoy not life."
"Latin","Those who are once found to be bad are presumed to be so for ever."
"Latin","Those who attack, though they die in the attempt."
"Latin","Those who do a thing are consenting parties."
"Latin","To be in love and act wisely is scarcely granted to a god."
"Latin","Though living, dead for all useful purposes."
"Latin","To the ass, or the sow, their own offspring appears the fairest in creation."
"Latin","Though physician to others, yet himself full of sores."
"Latin","Three women will make as much noise as a market."
"Latin","Through dangers to distinction."
"Latin","Thus years glide by."
"Latin","Tide and time wait for no man."
"Latin","Time flies with hasty step."
"Latin","Time has a forelock, but is bald behind."
"Latin","Those who see the faults of others, and see not their own, are wise for others and fools for themselves."
"Latin","Truth conquers all things."
"Latin","To silence another, first be silent yourself."
"Latin","Trifling at an end, now let us go to the point."
"Latin","Troy is a thing of the past."
"Latin","True friends are tested in adversity."
"Latin","Trust no one, until you have eaten a peck of salt with him."
"Latin","Trust not a sword in the hands of a boy."
"Latin","Trust not a woman, even when dead."
"Latin","Treat your friends as if hereafter they will become your enemies, and your enemies as if they will become your friends."
"Latin","Truth becomes lost in the turmoil of arguments."
"Latin","Treat everything of this world as mere vanity."
"Latin","Truth is great and will prevail."
"Latin","Truth is violated by a lie or by silence."
"Latin","Truth lies at the bottom of a well."
"Latin","Truth may be suppressed, but not strangled."
"Latin","Truth will be out."
"Latin","Try to deserve the reputation you enjoy."
"Latin","What is an exalted position to a low fellow but a golden ring in a swine's snout?"
"Latin","Trust not your all in one ship."
"Latin","Too late for the fair."
"Latin","To the pure all things are pure."
"Latin","To understand a stammerer, you ought to stammer yourself."
"Latin","To whiten ivory with dye is to spoil nature by art."
"Latin","To whom is he any good, if he is no good to himself?"
"Latin","To win a war quickly takes long preparation."
"Latin","To work is to pray."
"Latin","To-morrow is the pupil of to-day."
"Latin","Trifles often lead to serious results."
"Latin","Too late do I take up the shield after the wound."
"Latin","Unable to keep yourself, you are keeping dogs."
"Latin","Too much care does more harm than good."
"Latin","Too much care may be as bad as downright negligence."
"Latin","Too much consulting confounds."
"Latin","Too much of a thing nauseates."
"Latin","Too much of anything is bad."
"Latin","Too much wine will make a sane man mad."
"Latin","Treachery will eventually betray itself; though wary enough at first."
"Latin","To-morrow we will credit it, not to-day."
"Latin","With his own weapon do I stab him."
"Latin","Wine in the bottle does not quench thirst."
"Latin","Wine is given to bring mirth not drunkenness."
"Latin","Wine is one thing, drunkenness another."
"Latin","Wine is the mirror of the mind."
"Latin","Wine mars beauty and destroys the freshness of youth."
"Latin","Winter is summer's heir."
"Latin","What has this to do with the matter?"
"Latin","Wisdom does not consist in dress."
"Latin","Wine carries no rudder."
"Latin","With one hand he scratches you, and with the other he strikes you."
"Latin","With the idle it is always holy day time."
"Latin","Without divine assistance we can achieve nothing."
"Latin","Without favour, art is like a windmill without wind."
"Latin","Women when injured are generally not easily appeased."
"Latin","Women's jars breed men's wars."
"Latin","Words butter not parsnips."
"Latin","Winter never rots in the sky."
"Latin","Whose life is as lightning, his words are as thunder."
"Latin","While we would catch we are caught."
"Latin","Whilst standing he holds one opinion, whilst sitting another."
"Latin","Who aims at things beyond his reach, the greater will be his fall."
"Latin","Who lies with dogs shall rise up with fleas."
"Latin","Who loses honor can lose nothing else."
"Latin","Who loves me loves my dog."
"Latin","Who timidly requests invites refusal."
"Latin","Wine hath drowned more men than the sea."
"Latin","Whose interest was it? To whose prejudice was it?"
"Latin","Wine gladdeneth the heart of man."
"Latin","Why wear out your great coat in summer?"
"Latin","Wickedness and malice only require an opportunity."
"Latin","Wickedness with beauty is the devil's hook baited."
"Latin","Wider ears and a short tongue."
"Latin","Win by persuasion not by force."
"Latin","Wine brings forth the truth."
"Latin","Work makes the workman."
"Latin","Who would avoid all strife, should be a bachelor."
"Latin","You compare the moorhen to the I swan."
"Latin","Words may either conceal character or reveal it."
"Latin","You attack a horned animal."
"Latin","You bring your own evil deeds to light."
"Latin","You can never consider that as your own which can be changed."
"Latin","You can't love Thetis and Galatea at the same time."
"Latin","You cannot catch a fox with a bait."
"Latin","You cannot catch old birds with chaff."
"Latin","You are what you eat."
"Latin","You compare the bee to the grasshopper."
"Latin","You are teaching iron to swim."
"Latin","You compare the tortoise to the hare."
"Latin","You count the sand."
"Latin","You give hay to the dog and bones to the ass."
"Latin","You give the wolf the wether to keep."
"Latin","You harp perpetually on the same string."
"Latin","You have come too late for the feast."
"Latin","You have got your feet out of the mire."
"Latin","You cannot have all you wish for."
"Latin","You are carrying owls to Athens."
"Latin","While there is life there is hope."
"Latin","Works have a stronger voice than words."
"Latin","Worthless is the advice of fools."
"Latin","Would you shear a donkey for wool."
"Latin","Would you take water to the frog?"
"Latin","Wrongdoers and assenting parties are equally punishable."
"Latin","Yield to divine power."
"Latin","You ask the path when the high road is before your eyes."
"Latin","You are but sowing in sand."
"Latin","Words pay no debts."
"Latin","You are comparing a rose to an anemone."
"Latin","You are his father by nature, I by counsel."
"Latin","You are looking for wings in a wolf."
"Latin","You are more shifting than a potter's wheel."
"Latin","You are needlessly alarmed."
"Latin","You are talking to a stone."
"Latin","You are teaching a fish to swim."
"Latin","You anoint the dead man with salve."
"Latin","What. you a hare, and ask for hare-pie."
"Latin","When I did well, I heard it never; when I did ill, I heard it ever."
"Latin","What will not performance achieve?"
"Latin","What you are doing do thoroughly."
"Latin","What you think of yourself is much more important than what others think of you."
"Latin","What you've never had you never miss."
"Latin","What's bred in the bone will come out in the flesh."
"Latin","What's bred in the bone will never out of the flesh."
"Latin","What though his hair be gray, his mind is no less vigorous than ever."
"Latin","What's done is done."
"Latin","What the sober man has in his heart, the drunkard has on his lips."
"Latin","Whatever you do, do with all your might."
"Latin","Whatever you undertake let it be proportioned to your powers."
"Latin","When a man's mode of life is contemptible, it follows that his preaching is treated with contempt."
"Latin","When an observation by joke is true, it is out of place and ill-natured."
"Latin","When an old dog barks, look out."
"Latin","When fortune deserts us, our friends are nowhere."
"Latin","While we draw we are drawn."
"Latin","What's done can't be mended."
"Latin","What limit is there in love?"
"Latin","What is lighter than a feather? Dust. What lighter than dust? Wind. What lighter than the wind? A harlot. What lighter than a harlot? Nothing."
"Latin","What is new is esteemed, but what is in every day use ceases to afford interest."
"Latin","What is not understood by what is less understood."
"Latin","What is not understood."
"Latin","What is permitted us we least desire."
"Latin","What is there that love will not achieve?"
"Latin","What is useful cannot be base."
"Latin","What we possess is always beautiful."
"Latin","What is worthwhile must needs be difficult."
"Latin","When in good health we easily give good advice to the sick."
"Latin","What need has a blind man of a looking glass?"
"Latin","What one knows it is sometimes useful to forget."
"Latin","What people in distress most wish for, they most readily believe."
"Latin","What raging rashly is begun, Challengeth shame before half done."
"Latin","What soberness conceals, drunkenness reveals."
"Latin","What the eye rarely sees, the heart soon despises."
"Latin","What the law will compel you to do, do of your own free will."
"Latin","What is viler than to be laughed at?"
"Latin","Where there is wealth, friends abound."
"Latin","When hunger is appeased we can preach the merits of fasting."
"Latin","Where curiosity is not the purveyor, detraction will soon be starved."
"Latin","Where freedom is, there shall my country be."
"Latin","Where the bee sucks honey the spider sucks poison."
"Latin","Where the carcase is, there will the vultures be."
"Latin","Where the carcass is, there shall the eagles be gathered together."
"Latin","Where the honey, there the bees."
"Latin","Where art is displayed truth does not appear."
"Latin","Where there is content there is abundance."
"Latin","When you will, they wont, when you wont, they will."
"Latin","Wherein have I erred? What have I done?"
"Latin","Wherever a man dwells, he shall be sure to have a thorn-bush near his door."
"Latin","Whether he will or no."
"Latin","While avoiding the smoke I have fallen into the flame."
"Latin","While between two stools my tail go to the ground."
"Latin","While life lasts let us enjoy it."
"Latin","Things rumoured lessen in importance as they assume reality."
"Latin","Where the love is, thither turns the eye."
"Latin","When the journey is finished to lay up provisions for the journey."
"Latin","When once at sea, do not long to be on shore."
"Latin","When one dog barks, another will follow suit."
"Latin","When one wave leaves, another succeeds."
"Latin","When one will not, two cannot quarrel."
"Latin","When rogues fallout, many a secret is revealed."
"Latin","When spherical bodies can unite and embrace, then there will be friendship amongst the avaricious."
"Latin","When the battle is over you make your appearance."
"Latin","Where bees are, there is honey."
"Latin","When the head acheth, all the body is the worse."
"Latin","While we discuss matters, the opportunity passes by."
"Latin","When the old dog barks it is time to watch."
"Latin","When the soul hungers, even bitter things taste sweet."
"Latin","When the tale of bricks is doubled, then Moses makes his appearance."
"Latin","When the tree is fallen, every one goeth to it with his hatchet."
"Latin","When the war is over then comes help."
"Latin","When you bargain with a fox, beware of tricks."
"Latin","When you can avoid it, never seek strife."
"Latin","When the head aches, all the members suffer with it."
"Latin","The course of true love never did run smooth."
"Latin","The chamber of sickness is the chapel of devotion."
"Latin","The cobbler should not go beyond his last."
"Latin","The cobbler to his last and the gunner to his linstock."
"Latin","The conquered dare not open their mouths."
"Latin","The conqueror weeps, the conquered is ruined."
"Latin","The corruption of the best things makes the worst."
"Latin","The hand that gives gathers."
"Latin","The course of a river is not to be altered."
"Latin","The carrion which the eagle has left feeds the crow."
"Latin","The cowl does not make the monk."
"Latin","The crab would catch the hare."
"Latin","The credit got by a lie lasts only till the truth comes out."
"Latin","The crow is a pretty bird when the jackdaw is not present."
"Latin","The dead are the best counsellors."
"Latin","The diseases of the mind are either caused or cured by the power of music."
"Latin","The doctor is to be feared more than the disease."
"Latin","The counsel of the aged is sound."
"Latin","The blind would lead the blind."
"Latin","The bear wants a tail and cannot be a lion."
"Latin","The bear, he never can prevail To lion it for want of tail."
"Latin","The beginning is half of the whole."
"Latin","The best things are the first to perish."
"Latin","The best things come in small packages."
"Latin","The best things in life are free."
"Latin","The best throw of the dice is to throw them away."
"Latin","The challenger is beaten."
"Latin","The blind man wishes to show the way."
"Latin","The cause at an end, the effect is removed."
"Latin","The blossoms in the spring are the fruit in autumn."
"Latin","The blow falls more lightly when it is anticipated."
"Latin","The bones for those who come late."
"Latin","The brave man may die, but he will never say ""die."""
"Latin","The bust of Mercury cannot be carved in every wood."
"Latin","The carriage draws the ox."
"Latin","The end crowns the work."
"Latin","The bitch in her haste brings forth blind puppies."
"Latin","The grape is not ripened by the rays of the moon."
"Latin","The eagle does not catch flies."
"Latin","The gladiator seeks advice, when in the very lists."
"Latin","The gnat trusting itself to the flame is singed."
"Latin","The gods assist the industrious."
"Latin","The gods sell all things for labour."
"Latin","The gods send nuts to those who have no teeth."
"Latin","The good fortunes of life fall to the lot even of the base."
"Latin","The gifts of fortune do not always benefit us."
"Latin","The goodwill accompanying the gift is the best portion of it."
"Latin","The future struggles against being mastered."
"Latin","The grasshopper is dear to the grasshopper, the ant loves the ant."
"Latin","The great elephant of India cares not for a gnat."
"Latin","The greater the fool, the greater his insolence."
"Latin","The greatest consideration is due to the innocence of youth."
"Latin","The habits of our youth accompany us in our old age."
"Latin","The half is better than the whole."
"Latin","Think late, suffer soon."
"Latin","The good is the enemy of the best."
"Latin","The fear of death is worse than death itself."
"Latin","The avenging gods have their feet clothed in wool."
"Latin","The end justifies the means."
"Latin","The evil is lessened when it is seen beforehand."
"Latin","The excess of mirth leads to tears."
"Latin","The face is the index to the mind."
"Latin","The face is the portrait of the mind; the eyes, its informers."
"Latin","The faded rose No suitor knows."
"Latin","The girl is more inviting who smells of wild thyme than she who smells of musk."
"Latin","The favour of the great is not lasting."
"Latin","The early morn favours study."
"Latin","The field should be poorer than the farmer."
"Latin","The fish requires salt."
"Latin","The fool would teach the learned."
"Latin","The force of anger is broken by a soft answer."
"Latin","The force which a body at rest exercises on a body in motion impinging upon it."
"Latin","The fox loves cunning, the wolf covets the lamb, and a woman longs for praise."
"Latin","The fox may grow gray, but never good."
"Latin","The Fates will not permit it."
"Latin","Stupid is as stupid does."
"Latin","Success or ruin."
"Latin","Stand away from a horse's heels."
"Latin","Stolen waters are the sweetest."
"Latin","Stone dead hath no fellow."
"Latin","Straitened circumstances."
"Latin","Strange sins, strange punishments."
"Latin","Strike me a light, and I'll light you."
"Latin","Spur not a willing horse."
"Latin","Study invites study, idleness produces idleness."
"Latin","Spur not a free horse to death."
"Latin","Stupidity is a force unto itself."
