ID,Question,Ans01,Ans02,Ans03,Ans04,Ans05,Ans06,Ans07,Ans08,Ans09,Ans10
120061,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Battlefield Earth - 2000",john travolta,,,,,,,,,
120062,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: The General's Daughter - 1999",john travolta,,,,,,,,,
120063,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: The Thin Red Line - 1998",john travolta,,,,,,,,,
120064,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: A Civil Action - 1998",john travolta,,,,,,,,,
120065,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Primary Colors - 1998",john travolta,,,,,,,,,
120066,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Face/Off - 1997",john travolta,,,,,,,,,
120067,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Mad City - 1997",john travolta,,,,,,,,,
120068,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: She's So Lovely - 1997",john travolta,,,,,,,,,
120069,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Michael - 1996",john travolta,,,,,,,,,
120070,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Phenomenon - 1996",john travolta,,,,,,,,,
120071,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Broken Arrow - 1996",john travolta,,,,,,,,,
120072,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Get Shorty - 1995",john travolta,,,,,,,,,
120073,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: White Man's Burden - 1995",john travolta,,,,,,,,,
120074,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Pulp Fiction - 1994",john travolta,,,,,,,,,
120075,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Look Who's Talking Now - 1993",john travolta,,,,,,,,,
120076,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Shout - 1991",john travolta,,,,,,,,,
120077,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Look Who's Talking Too - 1990",john travolta,,,,,,,,,
120078,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: The Experts - 1989",john travolta,,,,,,,,,
120079,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Look Who's Talking - 1989",john travolta,,,,,,,,,
120080,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Perfect - 1985",john travolta,,,,,,,,,
120081,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Staying Alive - 1983",john travolta,,,,,,,,,
120082,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Two of a Kind - 1983",john travolta,,,,,,,,,
120083,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Blow Out - 1981",john travolta,,,,,,,,,
120084,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Urban Cowboy - 1980",john travolta,,,,,,,,,
120085,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Moment by Moment - 1978",john travolta,,,,,,,,,
120086,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Grease - 1978",john travolta,,,,,,,,,
120087,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Saturday Night Fever - 1977",john travolta,,,,,,,,,
120088,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: The Boy in the Plastic Bubble - 1976",john travolta,,,,,,,,,
120089,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: Carrie - 1976",john travolta,,,,,,,,,
120090,"TV/ Movies: Born Feb 18, 1954, He starred in this movie: The Devil's Rain - 1975",john travolta,,,,,,,,,
120091,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Village of the Damned - 1995",christopher reeve,,,,,,,,,
120092,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Morning Glory - 1994",christopher reeve,,,,,,,,,
120093,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Speechless - 1994",christopher reeve,,,,,,,,,
120094,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Remains of the Day - 1993",christopher reeve,,,,,,,,,
120095,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Noises Off - 1992",christopher reeve,,,,,,,,,
120096,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Bump in the Night - 1991",christopher reeve,,,,,,,,,
120097,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: The Rose and the Jackal - 1990",christopher reeve,,,,,,,,,
120098,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Switching Channels - 1988",christopher reeve,,,,,,,,,
120099,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Street Smart - 1987",christopher reeve,,,,,,,,,
120100,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Superman IV: The Quest For Peace - 1987",christopher reeve,,,,,,,,,
120101,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: The Aviator - 1985",christopher reeve,,,,,,,,,
120102,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Anna Karenina - 1985",christopher reeve,,,,,,,,,
120103,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: The Bostonians - 1984",christopher reeve,,,,,,,,,
120104,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Superman III - 1983",christopher reeve,,,,,,,,,
120105,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Monsignor - 1983",christopher reeve,,,,,,,,,
120106,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Deathtrap - 1982",christopher reeve,,,,,,,,,
120107,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Superman II - 1981",christopher reeve,,,,,,,,,
120108,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Somewhere in Time - 1980",christopher reeve,,,,,,,,,
120109,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Superman - 1978",christopher reeve,,,,,,,,,
120110,"TV/ Movies: Born Sep 25, 1952, He starred in this movie: Gray Lady Down - 1978",christopher reeve,,,,,,,,,
120111,"TV/ Movies: Born July 31, 1962, He starred in this movie: Down in the Delta - 1998",wesley snipes,,,,,,,,,
120112,"TV/ Movies: Born July 31, 1962, He starred in this movie: U.S. Marshals - 1998",wesley snipes,,,,,,,,,
120113,"TV/ Movies: Born July 31, 1962, He starred in this movie: Blade - 1998",wesley snipes,,,,,,,,,
120114,"TV/ Movies: Born July 31, 1962, He starred in this movie: Murder at 1600 - 1997",wesley snipes,,,,,,,,,
120115,"TV/ Movies: Born July 31, 1962, He starred in this movie: One Night Stand - 1997",wesley snipes,,,,,,,,,
120116,"TV/ Movies: Born July 31, 1962, He starred in this movie: The Fan - 1996",wesley snipes,,,,,,,,,
120117,"TV/ Movies: Born July 31, 1962, He starred in this movie: Drop Zone - 1995",wesley snipes,,,,,,,,,
120118,"TV/ Movies: Born July 31, 1962, He starred in this movie: Waiting to Exhale - 1995",wesley snipes,,,,,,,,,
120119,"TV/ Movies: Born July 31, 1962, He starred in this movie: Money Train - 1995",wesley snipes,,,,,,,,,
120120,"TV/ Movies: Born July 31, 1962, He starred in this movie: To Wong Foo, Thanks for Everything, Julie Newmar - 1995",wesley snipes,,,,,,,,,
120121,"TV/ Movies: Born July 31, 1962, He starred in this movie: Sugar Hill - 1994",wesley snipes,,,,,,,,,
120122,"TV/ Movies: Born July 31, 1962, He starred in this movie: Rising Sun - 1993",wesley snipes,,,,,,,,,
120123,"TV/ Movies: Born July 31, 1962, He starred in this movie: Boiling Point - 1993",wesley snipes,,,,,,,,,
120124,"TV/ Movies: Born July 31, 1962, He starred in this movie: Demolition Man - 1993",wesley snipes,,,,,,,,,
120125,"TV/ Movies: Born July 31, 1962, He starred in this movie: The Waterdance - 1992",wesley snipes,,,,,,,,,
120126,"TV/ Movies: Born July 31, 1962, He starred in this movie: White Men Can't Jump - 1992",wesley snipes,,,,,,,,,
120127,"TV/ Movies: Born July 31, 1962, He starred in this movie: Passenger 57 - 1992",wesley snipes,,,,,,,,,
120128,"TV/ Movies: Born July 31, 1962, He starred in this movie: Jungle Fever - 1991",wesley snipes,,,,,,,,,
120129,"TV/ Movies: Born July 31, 1962, He starred in this movie: New Jack City - 1991",wesley snipes,,,,,,,,,
120130,"TV/ Movies: Born July 31, 1962, He starred in this movie: Mo' Better Blues - 1990",wesley snipes,,,,,,,,,
120131,"TV/ Movies: Born July 31, 1962, He starred in this movie: King of New York - 1989",wesley snipes,,,,,,,,,
120132,"TV/ Movies: Born July 31, 1962, He starred in this movie: Major League - 1989",wesley snipes,,,,,,,,,
120133,"TV/ Movies: Born July 31, 1962, He starred in this movie: Wildcats - 1986",wesley snipes,,,,,,,,,
120134,"TV/ Movies: Born July 31, 1962, He starred in this movie: Streets of Gold - 1986",wesley snipes,,,,,,,,,
120135,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Virgin Suicides - 2000",james woods,,,,,,,,,
120136,"TV/ Movies: Born April 18, 1947, He starred in this movie: Any Given Sunday - 1999",james woods,,,,,,,,,
120137,"TV/ Movies: Born April 18, 1947, He starred in this movie: The General's Daughter - 1999",james woods,,,,,,,,,
120138,"TV/ Movies: Born April 18, 1947, He starred in this movie: True Crime - 1999",james woods,,,,,,,,,
120139,"TV/ Movies: Born April 18, 1947, He starred in this movie: Another Day in Paradise - 1998",james woods,,,,,,,,,
120140,"TV/ Movies: Born April 18, 1947, He starred in this movie: Fear and Loathing in Las Vegas - 1998",james woods,,,,,,,,,
120141,"TV/ Movies: Born April 18, 1947, He starred in this movie: Vampires - 1998",james woods,,,,,,,,,
120142,"TV/ Movies: Born April 18, 1947, He starred in this movie: Hercules - 1997",james woods,,,,,,,,,
120143,"TV/ Movies: Born April 18, 1947, He starred in this movie: Contact - 1997",james woods,,,,,,,,,
120144,"TV/ Movies: Born April 18, 1947, He starred in this movie: Kicked in the Head - 1997",james woods,,,,,,,,,
120145,"TV/ Movies: Born April 18, 1947, He starred in this movie: For Better or Worse - 1996",james woods,,,,,,,,,
120146,"TV/ Movies: Born April 18, 1947, He starred in this movie: Ghosts of Mississippi - 1996",james woods,,,,,,,,,
120147,"TV/ Movies: Born April 18, 1947, He starred in this movie: Casino - 1995",james woods,,,,,,,,,
120148,"TV/ Movies: Born April 18, 1947, He starred in this movie: Killer: A Journal of Murder - 1995",james woods,,,,,,,,,
120149,"TV/ Movies: Born April 18, 1947, He starred in this movie: Nixon - 1995",james woods,,,,,,,,,
120150,"TV/ Movies: Born April 18, 1947, He starred in this movie: Curse of the Starving Class - 1994",james woods,,,,,,,,,
120151,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Getaway - 1994",james woods,,,,,,,,,
120152,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Specialist - 1994",james woods,,,,,,,,,
120153,"TV/ Movies: Born April 18, 1947, He starred in this movie: Chaplin - 1992",james woods,,,,,,,,,
120154,"TV/ Movies: Born April 18, 1947, He starred in this movie: Straight Talk - 1992",james woods,,,,,,,,,
120155,"TV/ Movies: Born April 18, 1947, He starred in this movie: Diggstown - 1992",james woods,,,,,,,,,
120156,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Hard Way - 1991",james woods,,,,,,,,,
120157,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Boys - 1991",james woods,,,,,,,,,
120158,"TV/ Movies: Born April 18, 1947, He starred in this movie: Men & Women: Stories of Seduction - 1990",james woods,,,,,,,,,
120159,"TV/ Movies: Born April 18, 1947, He starred in this movie: Immediate Family - 1989",james woods,,,,,,,,,
120160,"TV/ Movies: Born April 18, 1947, He starred in this movie: True Believer - 1989",james woods,,,,,,,,,
120161,"TV/ Movies: Born April 18, 1947, He starred in this movie: My Name is Bill W. - 1989",james woods,,,,,,,,,
120162,"TV/ Movies: Born April 18, 1947, He starred in this movie: Cop - 1988",james woods,,,,,,,,,
120163,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Boost - 1988",james woods,,,,,,,,,
120164,"TV/ Movies: Born April 18, 1947, He starred in this movie: Best Seller - 1987",james woods,,,,,,,,,
120165,"TV/ Movies: Born April 18, 1947, He starred in this movie: Salvador - 1986",james woods,,,,,,,,,
120166,"TV/ Movies: Born April 18, 1947, He starred in this movie: Promise - 1986",james woods,,,,,,,,,
120167,"TV/ Movies: Born April 18, 1947, He starred in this movie: Cat's Eye - 1985",james woods,,,,,,,,,
120168,"TV/ Movies: Born April 18, 1947, He starred in this movie: Badge of the Assassin - 1985",james woods,,,,,,,,,
120169,"TV/ Movies: Born April 18, 1947, He starred in this movie: Joshua Then and Now - 1985",james woods,,,,,,,,,
120170,"TV/ Movies: Born April 18, 1947, He starred in this movie: Dodd - 1984",james woods,,,,,,,,,
120171,"TV/ Movies: Born April 18, 1947, He starred in this movie: Once Upon a Time in America - 1984",james woods,,,,,,,,,
120172,"TV/ Movies: Born April 18, 1947, He starred in this movie: Against All Odds - 1984",james woods,,,,,,,,,
120173,"TV/ Movies: Born April 18, 1947, He starred in this movie: Videodrome - 1983",james woods,,,,,,,,,
120174,"TV/ Movies: Born April 18, 1947, He starred in this movie: Fast Walking - 1982",james woods,,,,,,,,,
120175,"TV/ Movies: Born April 18, 1947, He starred in this movie: Split Image - 1982",james woods,,,,,,,,,
120176,"TV/ Movies: Born April 18, 1947, He starred in this movie: Eyewitness - 1981",james woods,,,,,,,,,
120177,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Black Marble - 1980",james woods,,,,,,,,,
120178,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Onion Field - 1979",james woods,,,,,,,,,
120179,"TV/ Movies: Born April 18, 1947, He starred in this movie: And Your Name Is Jonah - 1979",james woods,,,,,,,,,
120180,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Choirboys - 1977",james woods,,,,,,,,,
120181,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Choirboys - 1977",james woods,,,,,,,,,
120182,"TV/ Movies: Born April 18, 1947, He starred in this movie: Alex and the Gypsy - 1976",james woods,,,,,,,,,
120183,"TV/ Movies: Born April 18, 1947, He starred in this movie: Night Moves - 1975",james woods,,,,,,,,,
120184,"TV/ Movies: Born April 18, 1947, He starred in this movie: Distance - 1975",james woods,,,,,,,,,
120185,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Gambler - 1974",james woods,,,,,,,,,
120186,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Way We Were - 1973",james woods,,,,,,,,,
120187,"TV/ Movies: Born April 18, 1947, He starred in this movie: The Visitors - 1972",james woods,,,,,,,,,
120188,"TV/ Movies: Born April 18, 1947, He starred in this movie: Hickey and Boggs - 1972",james woods,,,,,,,,,
120189,"TV/ Movies: Born April 18, 1947, He starred in this movie: A Great American Tragedy - 1972",james wood,,,,,,,,,
120190,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: The Hurricane - 1999",denzel washington,,,,,,,,,
120191,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: The Bone Collector - 1999",denzel washington,,,,,,,,,
120192,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: The Siege - 1998",denzel washington,,,,,,,,,
120193,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: He Got Game - 1998",denzel washington,,,,,,,,,
120194,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Fallen - 1998",denzel washington,,,,,,,,,
120195,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: The Preacher's Wife - 1996",denzel washington,,,,,,,,,
120196,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Courage Under Fire - 1996",denzel washington,,,,,,,,,
120197,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Virtuosity - 1995",denzel washington,,,,,,,,,
120198,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Devil in a Blue Dress - 1995",denzel washington,,,,,,,,,
120199,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Crimson Tide - 1995",denzel washington,,,,,,,,,
120200,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: A Century of Cinema - 1994",denzel washington,,,,,,,,,
120201,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Philadelphia - 1993",denzel washington,,,,,,,,,
120202,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: The Pelican Brief - 1993",denzel washington,,,,,,,,,
120203,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Much Ado About Nothing - 1993",denzel washington,,,,,,,,,
120204,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Mississippi Masala - 1992",denzel washington,,,,,,,,,
120205,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Malcolm X - 1992",denzel washington,,,,,,,,,
120206,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Ricochet - 1991",denzel washington,,,,,,,,,
120207,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Heart Condition - 1990",denzel washington,,,,,,,,,
120208,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Mo' Better Blues - 1990",denzel washington,,,,,,,,,
120209,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: The Mighty Quinn - 1989",denzel washington,,,,,,,,,
120210,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Glory - 1989",denzel washington,,,,,,,,,
120211,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: For Queen and Country - 1989",denzel washington,,,,,,,,,
120212,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Reunion - 1988",denzel washington,,,,,,,,,
120213,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Cry Freedom - 1987",denzel washington,,,,,,,,,
120214,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: The George McKenna Story - 1986",denzel washington,,,,,,,,,
120215,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Power - 1986",denzel washington,,,,,,,,,
120216,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: A Soldier's Story - 1984",denzel washington,,,,,,,,,
120217,"TV/ Movies: Born Dec 28, 1954, He starred in this movie: Carbon Copy - 1981",denzel washington,,,,,,,,,
120218,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Jack Frost - 1998",michael keaton,,,,,,,,,
120219,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Desperate Measures - 1998",michael keaton,,,,,,,,,
120220,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Out of Sight - 1998",michael keaton,,,,,,,,,
120221,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Jackie Brown - 1997",michael keaton,,,,,,,,,
120222,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Multiplicity - 1996",michael keaton,,,,,,,,,
120223,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: The Paper - 1994",michael keaton,,,,,,,,,
120224,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Speechless - 1994",michael keaton,,,,,,,,,
120225,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Much Ado About Nothing - 1993",michael keaton,,,,,,,,,
120226,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: My Life - 1993",michael keaton,,,,,,,,,
120227,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Batman Returns - 1992",michael keaton,,,,,,,,,
120228,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: One Good Cop - 1991",michael keaton,,,,,,,,,
120229,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Pacific Heights - 1990",michael keaton,,,,,,,,,
120230,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Batman - 1989",michael keaton,,,,,,,,,
120231,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: The Dream Team - 1989",michael keaton,,,,,,,,,
120232,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Beetlejuice - 1988",michael keaton,,,,,,,,,
120233,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Clean and Sober - 1988",michael keaton,,,,,,,,,
120234,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: The Squeeze - 1987",michael keaton,,,,,,,,,
120235,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Gung Ho - 1986",michael keaton,,,,,,,,,
120236,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Touch and Go - 1986",michael keaton,,,,,,,,,
120237,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Johnny Dangerously - 1984",michael keaton,,,,,,,,,
120238,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Mr. Mom - 1983",michael keaton,,,,,,,,,
120239,"TV/ Movies: Born Sep 9, 1951, He starred in this movie: Night Shift - 1982",michael keaton,,,,,,,,,
120240,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Twilight - 1998",gene hackman,,,,,,,,,
120241,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Antz - 1998",gene hackman,,,,,,,,,
120242,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Enemy of the State - 1998",gene hackman,,,,,,,,,
120243,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Absolute Power - 1997",gene hackman,,,,,,,,,
120244,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Birdcage - 1996",gene hackman,,,,,,,,,
120245,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Chamber - 1996",gene hackman,,,,,,,,,
120246,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Extreme Measures - 1996",gene hackman,,,,,,,,,
120247,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Crimson Tide - 1995",gene hackman,,,,,,,,,
120248,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Get Shorty - 1995",gene hackman,,,,,,,,,
120249,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Quick and the Dead - 1995",gene hackman,,,,,,,,,
120250,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Wyatt Earp - 1994",gene hackman,,,,,,,,,
120251,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Geronimo: An American Legend - 1993",gene hackman,,,,,,,,,
120252,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Firm - 1993",gene hackman,,,,,,,,,
120253,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Unforgiven - 1992",gene hackman,,,,,,,,,
120254,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Company Business - 1991",gene hackman,,,,,,,,,
120255,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Class Action - 1991",gene hackman,,,,,,,,,
120256,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Postcards From the Edge - 1990",gene hackman,,,,,,,,,
120257,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Narrow Margin - 1990",gene hackman,,,,,,,,,
120258,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Loose Cannons - 1989",gene hackman,,,,,,,,,
120259,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Package - 1989",gene hackman,,,,,,,,,
120260,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Mississippi Burning - 1988",gene hackman,,,,,,,,,
120261,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Another Woman - 1988",gene hackman,,,,,,,,,
120262,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Bat 21 - 1988",gene hackman,,,,,,,,,
120263,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Split Decisions - 1988",gene hackman,,,,,,,,,
120264,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Full Moon in Blue Water - 1988",gene hackman,,,,,,,,,
120265,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: No Way Out - 1987",gene hackman,,,,,,,,,
120266,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Superman IV: The Quest For Peace - 1987",gene hackman,,,,,,,,,
120267,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Power - 1986",gene hackman,,,,,,,,,
120268,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Hoosiers - 1986",gene hackman,,,,,,,,,
120269,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Target - 1985",gene hackman,,,,,,,,,
120270,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Twice in a Lifetime - 1985",gene hackman,,,,,,,,,
120271,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Misunderstood - 1984",gene hackman,,,,,,,,,
120272,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Under Fire - 1983",gene hackman,,,,,,,,,
120273,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Uncommon Valor - 1983",gene hackman,,,,,,,,,
120274,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Reds - 1981",gene hackman,,,,,,,,,
120275,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Superman II - 1981",gene hackman,,,,,,,,,
120276,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: All Night Long - 1981",gene hackman,,,,,,,,,
120277,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Eureka - 1981",gene hackman,,,,,,,,,
120278,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Superman - 1978",gene hackman,,,,,,,,,
120279,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Domino Principle - 1977",gene hackman,,,,,,,,,
120280,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: A Bridge Too Far - 1977",gene hackman,,,,,,,,,
120281,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: March or Die - 1977",gene hackman,,,,,,,,,
120282,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Night Moves - 1975",gene hackman,,,,,,,,,
120283,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Bite the Bullet - 1975",gene hackman,,,,,,,,,
120284,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Lucky Lady - 1975",gene hackman,,,,,,,,,
120285,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: French Connection II - 1975",gene hackman,,,,,,,,,
120286,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Zandy's Bride - 1974",gene hackman,,,,,,,,,
120287,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Conversation - 1974",gene hackman,,,,,,,,,
120288,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Young Frankenstein - 1974",gene hackman,,,,,,,,,
120289,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: For Better, For Worse - 1974",gene hackman,,,,,,,,,
120290,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Scarecrow - 1973",gene hackman,,,,,,,,,
120291,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Poseidon Adventure - 1972",gene hackman,,,,,,,,,
120292,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Prime Cut - 1972",gene hackman,,,,,,,,,
120293,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Cisco Pike - 1972",gene hackman,,,,,,,,,
120294,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The French Connection - 1971",gene hackman,,,,,,,,,
120295,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Hunting Party - 1971",gene hackman,,,,,,,,,
120296,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Doctors' Wives - 1971",gene hackman,,,,,,,,,
120297,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: I Never Sang for My Father - 1970",gene hackman,,,,,,,,,
120298,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Downhill Racer - 1969",gene hackman,,,,,,,,,
120299,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Gypsy Moths - 1969",gene hackman,,,,,,,,,
120300,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Marooned - 1969",gene hackman,,,,,,,,,
120301,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Riot - 1969",gene hackman,,,,,,,,,
120302,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: The Split - 1968",gene hackman,,,,,,,,,
